                      sourcefile                        sourceline                class                 memsize  count
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                         96      1
typhoeus_test.rb                                                14  Typhoeus::Request                        32      1
typhoeus_test.rb                                                11  Typhoeus::Hydra                          20      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      89  Hash                                      0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Hash                                      0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Ethon::Multi                             40      1
<GEM:ethon-0.6.1>/lib/ethon/loggable.rb                         42  Logger                                   20      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                                     0      1
<RUBYLIBDIR>/logger.rb                                         314  Logger::Formatter                         0      1
<RUBYLIBDIR>/logger.rb                                         318  Hash                                     96      1
<RUBYLIBDIR>/logger.rb                                         318  Logger::LogDevice                        20      1
<RUBYLIBDIR>/logger.rb                                         545  Logger::LogDevice::LogDeviceMutex         0      1
<RUBYLIBDIR>/logger.rb                                         545  Array                                     0      1
<RUBYLIBDIR>/monitor.rb                                        241  Mutex                                    92      1
<GEM:ethon-0.6.1>/lib/ethon/curl.rb                             62  String                                    0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::Pointer                              0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                                   24      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Ethon::Curl::Timeval                      0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Array                                     0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Ethon::Curl::FDSet                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Array                                     0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Ethon::Curl::FDSet                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Array                                     0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Ethon::Curl::FDSet                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Array                                     0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 31  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                      14  Array                                    64      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     149  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     169  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     159  FFI::MemoryPointer                        0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Hash                                      0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Thread                               525068      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       55  Array                                  1160      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/expectation.rb                61  Array                                     0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus.rb                            98  Array                                     0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                                   800      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb            17  Array                                     0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                              68      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb           21  Hash                                      0      1
