A-1 First Class Moving & Storage, Inc	(718) 745-3400	"156 Hinsdale St        (between Pitkin Ave & Glenmore Ave)
Brooklyn, NY 11207
            Neighborhood: East New York"	2	a1firstclass.com	Accepts Credit Cards:Yes	Mon-Fri 7 am - 5 pmSat 7 am - 12 pm	3.5	yelp.com/biz/a-1-first-class-moving-and-storage-inc-brooklyn-2
Abreu Movers	(347) 758-6794	Bronx, NY 10462	3	abreumovers.com		Mon-Fri 7 am - 8 pmSat 7 am - 10 pmSun 9 am - 10 pm	4.5	yelp.com/biz/abreu-movers-bronx
Cool Hand Movers	(917) 584-0334	"138 Dikeman St        (between Van Brunt St & Conover St)
Brooklyn, NY 11231Serving Brooklyn and surrounding area
            Neighborhood: Red Hook"	17	coolhandmovers.com	Accepts Credit Cards:No	Mon-Sun 9 am - 10 pm	4.5	yelp.com/biz/cool-hand-movers-brooklyn
Action Moving Co	(718) 485-5817	95 Sackman StBrooklyn, NY 11233	3				3.5	yelp.com/biz/action-moving-co-brooklyn
Erv's Affordable Mover & Van Service	(718) 501-2688	Brooklyn, NY	14	CargoMovingVan.com	Accepts Credit Cards:No		5	yelp.com/biz/ervs-affordable-mover-and-van-service-brooklyn
Elate Moving	(212) 920-4450	"122 W 27th St10th Floor        (between 7th Ave & Avenue Of The Americas)
New York, NY 10001
            Neighborhood: Chelsea"	6	elatemoving.com			3.5	yelp.com/biz/elate-moving-new-york
EZ Bins Moving Boxes	(855) 463-9246	"34-13 38th StAstoria, NY 11101Serving Astoria and surrounding area
            Neighborhood: Astoria"	29	ezbins.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 9 pmSat-Sun 9 am - 6 pm	5	yelp.com/biz/ez-bins-moving-boxes-astoria-2
Chelsea Moving & Storage	(212) 243-8000	"425 W 23rd StSte 1-C        (between 10th Ave & 9th Ave)
            Neighborhood: Chelsea"	11	chelseamoving.com	Accepts Credit Cards:Yes		3	yelp.com/biz/chelsea-moving-and-storage-new-york-2
Mini  Movers NYC	(877) 810-7024	New York, NY	9	minimoversnyc.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 5 pmSat 10 am - 5 pm	2	yelp.com/biz/mini-movers-nyc-new-york
Young Movers	(201) 673-3474	"Manhattan, NY 10003
            Neighborhood: East Village"	1				1	yelp.com/biz/young-movers-manhattan
Amazon Relocation	(888) 668-3540	"5726 1st Ave        (between 57th St & 58th St)
Brooklyn, NY 11220Serving Brooklyn and surrounding area
            Neighborhood: Sunset Park"	4	amazonrelocation.com	Accepts Credit Cards:Yes	Mon-Fri, Sun 9 am - 6 pm	2	yelp.com/biz/amazon-relocation-brooklyn
Michael Mover	(347) 668-2299	New YorkNew York, NY	4				5	yelp.com/biz/michael-mover-new-york
5 Boro Movers	(347) 776-0166	Elmhurst, NY 11373Serving Elmhurst and surrounding area	5	movinghelp.com/5boromovers	Accepts Credit Cards:Yes	Mon-Sun 6 am - 5:30 am	4	yelp.com/biz/5-boro-movers-elmhurst
All Around Moving Services Company, Inc.	(212) 781-4118	"12 Desbrosses St        (between Hudson St & Greenwich St)
New York, NY 10013Serving New York and surrounding area
            Neighborhood: TriBeCa"	2	allaroundmoving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 7 pmSat 10 am - 4 pm	3	yelp.com/biz/all-around-moving-services-company-inc-new-york-2
VanTruckMove	(646) 250-8699	"4071 Bedford Ave        (between Avenue T & Avenue S)
Brooklyn, NY 11229
            Neighborhood: Midwood"	4	go2moving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 5 pmSat-Sun 11 am - 6 pm	4	yelp.com/biz/vantruckmove-brooklyn-2
City Express Moving	(718) 415-6080	"925 E 14th St        (between Avenue J & Avenue I)
New York, NY 11230
            Neighborhood: Midwood"	1	cityexpressmove.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 8 pmSat-Sun 9 am - 6 pm	5	yelp.com/biz/city-express-moving-new-york-2
Sea & Air International	(212) 734-5666	"222 W 37th St3rd Fl        (between 7th Ave & 8th Ave)
New York, NY 10018Serving New York and surrounding area
            Neighborhood: Midtown West"	5	internationalmovingnj.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 6 pmSat-Sun 10 am - 4 pm	1.5	yelp.com/biz/sea-and-air-international-new-york-6
Noah Moving	(718) 445-7744	Flushing, NY 11369	1				5	yelp.com/biz/noah-moving-flushing
Brianandhisvan Moving Inc	(212) 470-3027	"120-01 Metropolitan AveBrooklyn, NY 11201Serving Brooklyn and surrounding area
            Neighborhood: Williamsburg - North Side"	9		Accepts Credit Cards:Yes	Mon-Sun 6 am - 6 am	4	yelp.com/biz/brianandhisvan-moving-inc-brooklyn
Big Piano Movers	(718) 429-4900	"7219 48th AvenueWoodside, NY 11377
            Neighborhood: Woodside"	5		Accepts Credit Cards:No		4	yelp.com/biz/big-piano-movers-woodside
TDY Moving and Storage	(347) 535-3131	"8802 Ditmas Ave        (between 88th St & 89th St)
New York, NY 11236"	4	Www.tdymoving.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 6 pm	5	yelp.com/biz/tdy-moving-and-storage-new-york
Low Rate Moving Service	(718) 200-2250	"20 Van Sicklen St        (between Kings Hwy & Lloyd Ct)
Brooklyn, NY 11223Serving Brooklyn and surrounding area
            Neighborhood: Gravesend"	3	lowratemovingservice.com	Accepts Credit Cards:No	Mon-Sun 12 am - 12 am	5	yelp.com/biz/low-rate-moving-service-brooklyn-3
Two Guys And A Van	(877) 352-4897	Manhattan, NY 10019	3	twoguysandavan.com		Mon-Fri 9 am - 7 pmSat 10 am - 7 pmSun 10 am - 6 pm	2.5	yelp.com/biz/two-guys-and-a-van-manhattan
Highlawn Moving & Storage	(718) 339-6033	"240 52nd StreetBrooklyn, NY 11220
            Neighborhood: Sunset Park"	3		Accepts Credit Cards:No		2.5	yelp.com/biz/highlawn-moving-and-storage-brooklyn
Noahs Ark Moving & Storage	(212) 354-1450	252 W 38 St  8 AveNew York, NY 10018	5				2	yelp.com/biz/noahs-ark-moving-and-storage-new-york-2
Elite TriState Movers	(718) 915-8546	"84-10 88th StQueens, NY 11421Serving Queens and surrounding area
            Neighborhood: Woodhaven"	3	movinghelp.com/elitetristate	Accepts Credit Cards:Yes	Mon-Sat 8 am - 9 pm	5	yelp.com/biz/elite-tristate-movers-queens
New York Van Lines	(718) 462-5695	"3500 Snyder Ave        (between Brooklyn Ave & 35th St)
Brooklyn, NY 11203
            Neighborhood: East Flatbush"	2	newyorkvanline.com	Accepts Credit Cards:Yes	Mon 9 am - 5 pm	1	yelp.com/biz/new-york-vanlines-brooklyn
Campbells Moving	(718) 875-2800	"573 Sackett St        (between Nevins St & 3rd Ave)
Brooklyn, NY 11217
            Neighborhood: Gowanus"	4	campbellsmovinginc.com	Accepts Credit Cards:Yes	Mon-Sat 9 am - 5 pmSun 10 am - 4 pm	2	yelp.com/biz/campbells-moving-brooklyn-2
Easy Moving & Storage Inc	(718) 758-5525	"1 N 12th St        (at Kent Ave)
Brooklyn, NY 11211Serving Brooklyn and surrounding area
            Neighborhood: Williamsburg - North Side"	7	movingyoueasy.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 7 pmSat 9 am - 4 pmSun 11 am - 4 pm	4	yelp.com/biz/easy-moving-and-storage-inc-brooklyn
USA Moving Direct	(888) 204-4783	"2040 Utica Ave        (between Avenue L & Avenue M)
Brooklyn, NY 11234Serving Brooklyn and surrounding area
            Neighborhood: Georgetown"	4	moving-direct.com	Accepts Credit Cards:Yes	Mon 6 am - 10 pm	1	yelp.com/biz/usa-moving-direct-brooklyn-3
Miranda Moving & Delivery Service	(917) 683-3913	New York, NY 11377	1			Mon-Sun 8 am - 9 pm	5	yelp.com/biz/miranda-moving-and-delivery-service-new-york
Move My Stuff	(347) 483-5387	"678 E 225th StBronx, NY 10466
            Neighborhood: Edenwald"	2	movemystuff.org	Accepts Credit Cards:No		2.5	yelp.com/biz/move-my-stuff-bronx
Budget Van Lines	(212) 380-1812	New York, NY 10001	10		Accepts Credit Cards:Yes		3	yelp.com/biz/budget-van-lines-new-york-4
Presidents moving and storage	(718) 874-2874	"29 Wadsworth        (between 174th St & 175th St)
New York, NY 10033
            Neighborhood: Washington Heights"	1	presidentmoving.com			1	yelp.com/biz/presidents-moving-and-storage-new-york
Redline Moving	(212) 288-1800	"303 East 80th St        (between 2nd Ave & 1st Ave)
New York, NY 10021
            Neighborhoods: Yorkville, Upper East Side"	2	redlinemovers.com		Mon-Sun 9 am - 5 pm	3.5	yelp.com/biz/redline-moving-new-york
Michael's Moving & Storage Inc	(718) 273-2202	"60 Davidson StStaten Island, NY 10303
            Neighborhood: Arlington"	9		Accepts Credit Cards:Yes		3	yelp.com/biz/michaels-moving-and-storage-inc-staten-island
Marrins' Moving Systems Ltd	(212) 575-7088	"531 Main StNew York, NY 10044
            Neighborhood: Roosevelt Island"	2	marrinsmoving.com			3	yelp.com/biz/marrins-moving-systems-ltd-new-york
Metropolitan Movers	(888) 829-4487	"700 Rogers Ave        (between Clarkson Ave & Lenox Rd)
Brooklyn, NY 11226
            Neighborhood: Flatbush"	1	metropolitanmovers.org			1	yelp.com/biz/metropolitan-movers-brooklyn
Walter the Moving Man	(646) 596-2350	New York, NY 10035	2				1	yelp.com/biz/walter-the-moving-man-new-york
ABF U-Pack Moving	(855) 240-3502	"414 Maspeth Ave        (at Varick Ave)
Brooklyn, NY 11211
            Neighborhood: East Williamsburg"	6	upack.com	Accepts Credit Cards:Yes	Mon-Fri 7 am - 8 pmSat 9 am - 4 pm	4	yelp.com/biz/abf-u-pack-moving-brooklyn
Xpress Moving Vanlines	(866) 506-6909	"212 41th StBrooklyn, NY 11232Serving Brooklyn and surrounding area
            Neighborhood: Sunset Park"	4	xpressmovingonline.com	Accepts Credit Cards:Yes	Mon-Fri 8:30 am - 6 pmSat 10 am - 3 pmSun 10 am - 2 pm	4	yelp.com/biz/xpress-moving-vanlines-brooklyn
Buy the Hour Movers	(347) 866-9876	"Bronx, NY 10019Serving Bronx and surrounding area
            Neighborhood: Hunts Point"	7	buythehourmovers.com	Accepts Credit Cards:Yes	Mon-Sat 9 am - 5 pmSun 9 am - 12 pm	3	yelp.com/biz/buy-the-hour-movers-bronx
Mike the Mover	(917) 523-2566	New York, NY	4		Accepts Credit Cards:No		5	yelp.com/biz/mike-the-mover-new-york
The Super Movers	(866) 684-8983	"83 14th St        (between 3rd Ave & 2nd Ave)
New York, NY 11215Serving New York and surrounding area
            Neighborhood: Gowanus"	13	thesupermovers.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 6 pm	4	yelp.com/biz/the-super-movers-new-york
Van Gogh Movers	(718) 832-6313	"4210 2nd AvenueBrooklyn, NY 11232
            Neighborhood: Sunset Park"	7	vangoghmovers.com	Accepts Credit Cards:Yes		4	yelp.com/biz/van-gogh-movers-brooklyn
Prestige Moving	(718) 648-6430	"2678 E 23rd St        (between Jerome Ave & Voorhies Ave)
Brooklyn, NY 11235
            Neighborhood: Sheepshead Bay"	26		Accepts Credit Cards:No		2.5	yelp.com/biz/prestige-moving-brooklyn
Centaur Moving	(347) 656-1704	"132 Bedford Ave        (between 10th St & 9th St)
            Neighborhood: Williamsburg - North Side"	4	centaurmoving.blogspot.com	Accepts Credit Cards:Yes		3.5	yelp.com/biz/centaur-moving-brooklyn
All City Movers!!!	(917) 805-4462	Brooklyn, NY 11213	1			Mon-Sun 8 am - 10 pm	5	yelp.com/biz/all-city-movers-brooklyn
Man With A Van	(718) 855-1101	"178 Warren StSte 3        (between Clinton St & Henry St)
Brooklyn, NY 11201Serving Brooklyn and surrounding area
            Neighborhood: Cobble Hill"	20	nyvanman.net	Accepts Credit Cards:No	Mon-Sun 8 am - 9 pm	4.5	yelp.com/biz/man-with-a-van-brooklyn-4
The Advance Group	(212) 809-1988	"450 Seventh AveSte 2906 AManhattan, NY 10123
            Neighborhood: Midtown West"	1	TheAdvanceGrp.com		Mon-Fri 8 am - 5 pm	5	yelp.com/biz/the-advance-group-manhattan
Personalized Moving	(718) 954-0119	"10 Darnell LnStaten Island, NY 10309Serving Staten Island and surrounding area
            Neighborhood: Woodrow"	6	personalizedmoving.net	Accepts Credit Cards:Yes		4.5	yelp.com/biz/personalized-moving-staten-island
Quality Moving & Transportation	(888) 668-3001	"106 Ferris St1st Fl        (between Coffey St & Van Dyke St)
            Neighborhood: Red Hook"	1	moverny.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 7 pm	5	yelp.com/biz/quality-moving-and-transportation-brooklyn-3
D&R Transportation	(347) 748-4879	New York, NY	1				5	yelp.com/biz/d-and-r-transportation-new-york
A to B Vanlines	(888) 990-2862	"2550 Atlantic Ave        (between Alabama Ave & Williams Ave)
            Neighborhood: East New York"	4	ATOBVANLINES.com	Accepts Credit Cards:No		1	yelp.com/biz/a-to-b-vanlines-brooklyn
Bee Moving, Inc	(718) 246-8000	"4114 Highland Ave        (between Laurel Ave & Lyme Ave)
Brooklyn, NY 11224
            Neighborhood: Sea Gate"	2	beemovingny.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 9 pm	3	yelp.com/biz/bee-moving-inc-brooklyn
Olympus Moving & Storage	(888) 217-7221	"174 9th Street        (between 3rd Ave & 2nd Ave)
Brooklyn, NY 11215Serving Brooklyn and surrounding area
            Neighborhood: Gowanus"	5	OlympusMoving.com	Accepts Credit Cards:No		2	yelp.com/biz/olympus-moving-and-storage-brooklyn
Experienced Van Lines	(718) 676-4466	"2550 Atlantic Ave        (between Alabama Ave & Williams Ave)
            Neighborhood: East New York"	2				1	yelp.com/biz/experienced-van-lines-brooklyn-2
Above Movers Man With Van	(646) 606-4453	"Brooklyn, NY 11213Serving Brooklyn and surrounding area
            Neighborhoods: Wingate, Crown Heights"	13		Accepts Credit Cards:Yes	Mon-Sun 8 am - 8 pm	5	yelp.com/biz/above-movers-man-with-van-brooklyn
Ishy's State 2 State Movers	(347) 425-9315	"154 Bristol St        (between Pitkin Ave & Sutter Ave)
Brooklyn, NY 11212
            Neighborhood: Brownsville"	1				1	yelp.com/biz/ishys-state-2-state-movers-brooklyn
Impact Moving	(718) 477-5234	Brooklyn, NY	1	ImpactMoving.com		Mon-Sun 8 am - 9 pm	1	yelp.com/biz/impact-moving-brooklyn
FlatRate Moving	(718) 292-7911	27 Bruckner BlvdBronx, NY 10454	21		Accepts Credit Cards:Yes	Mon-Fri 9 am - 5 pm	3	yelp.com/biz/flatrate-moving-bronx-2
Hefty Roy & Sha's Moving Services	(347) 325-7148	"132 Dwight St        (between Dikeman St & Coffey St)
Brooklyn, NY 11231
            Neighborhood: Red Hook"	2	heftymovers.com			5	yelp.com/biz/hefty-roy-and-shas-moving-services-brooklyn
Moving Forces	(917) 514-0762	New York, NY	5	movingforces.us	Accepts Credit Cards:No		5	yelp.com/biz/moving-forces-new-york
Two Guys and a Truck	(646) 455-1930	"105 East 90th St        (between Park Ave & Lexington Ave)
New York, NY 10128Serving New York and surrounding area
            Neighborhood: Upper East Side"	3	twoguysandatrucknyc.webs.com	Accepts Credit Cards:No		2.5	yelp.com/biz/two-guys-and-a-truck-new-york-2
Big and Gentle Movers	(917) 293-9224	"109-10 Park Lane SouthRichmond Hill, NY 11418
            Neighborhood: Richmond Hill"	5				5	yelp.com/biz/big-and-gentle-movers-richmond-hill
Oz Moving & Storage	(212) 799-6683	"2237 BroadwayNew York, NY 10024
            Neighborhood: Upper West Side"	56		Accepts Credit Cards:Yes		3.5	yelp.com/biz/oz-moving-and-storage-new-york
Rockland Movers	(877) 470-4646	New York, NY	4	rocklandmovers.com	Accepts Credit Cards:No		1	yelp.com/biz/rockland-movers-new-york
Ken's Moving and Storage	(718) 639-8686	"5722 69th LnFlushing, NY 11378
            Neighborhood: Maspeth"	7	kensmovingandstorage.com	Accepts Credit Cards:Yes	Mon-Sun 8 am - 5 pm	3	yelp.com/biz/kens-moving-and-storage-flushing-2
Americas Parkway	(212) 470-8545	Brooklyn, NY 11218	2	americasparkway.com	Accepts Credit Cards:Yes	Mon-Sun 6 am - 2 am	1	yelp.com/biz/americas-parkway-brooklyn-2
New York Couch Doctor	(516) 328-8234	New York, NY	16	nycouchdoctor.com/index.htm	Accepts Credit Cards:No		3.5	yelp.com/biz/new-york-couch-doctor-new-york
TLC Moving & Storage	(212) 787-9855	"17 W 45th St        (between 5th Ave & Avenue Of The Americas)
New York, NY 10036Serving New York and surrounding area
            Neighborhood: Midtown West"	9	tlc-moving.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 10 pmSat-Sun 9 am - 9 am	2.5	yelp.com/biz/tlc-moving-and-storage-new-york
Dave The Mover	(212) 769-7972	Brooklyn, NY	4	davemover.com	Accepts Credit Cards:No		3	yelp.com/biz/dave-the-mover-brooklyn
First Choice Delivery & Moving Service	(866) 834-2121	"2455 Mcdonald AveUnit 7        (between Avenue X & Shell Rd)
Brooklyn, NY 11223
            Neighborhood: Gravesend"	2	firstchoicedeliveryservice.net		Mon-Fri 10 am - 8 pmSat 10 am - 7 pmSun 11 am - 6 pm	5	yelp.com/biz/first-choice-delivery-and-moving-service-brooklyn
Manhattan Mini Storage	(212) 786-7243	"220 South StNew York, NY 10002
            Neighborhood: Two Bridges"	17	manhattanministorage.com	Accepts Credit Cards:Yes	Mon-Sun 7 am - 10 pm	4	yelp.com/biz/manhattan-mini-storage-new-york-3
MF Deliveries	(917) 498-6460	New York, NY	4	mfdelivery.com			2	yelp.com/biz/mf-deliveries-new-york
West Side Movers	(212) 874-3800	"963 Columbus Ave        (between 107th St & 108th St)
New York, NY 10025
            Neighborhood: Manhattan Valley"	13	westsidemovers.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 6 pmSat 9 am - 3 pmSun 10 am - 3 pm	3	yelp.com/biz/west-side-movers-inc-new-york-2
Bin-It	(888) 552-4648	New York, NYServing New York and surrounding area	63	Bin-It.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 7 pmSat 8 am - 4 pm	5	yelp.com/biz/bin-it-new-york-2
Super Van Man	(718) 594-6870	"230 Calyer St        (between Newel St & Eckford St)
Brooklyn, NY 11222Serving Brooklyn and surrounding area
            Neighborhood: Greenpoint"	10			Mon-Sun 8 am - 10 pm	4	yelp.com/biz/super-van-man-brooklyn
Espresso Movers	(347) 385-4365	Brooklyn, NY	3	espressomovers.com	Accepts Credit Cards:No	Mon-Sun 8 am - 8 pm	5	yelp.com/biz/espresso-movers-brooklyn
O-Discount Moving Co.	(917) 324-6788	New York, NY 10027	7		Accepts Credit Cards:No		4.5	yelp.com/biz/o-discount-moving-co-new-york
NYC Moving Man With A Van	(917) 436-7572	Manhattan, NY 10029	14	nycmovingmanwithavan.com	Accepts Credit Cards:Yes	Mon-Sat 8 am - 9 pmSun 9 am - 8 pm	4	yelp.com/biz/nyc-moving-man-with-a-van-manhattan
Support A Student Movers	(646) 272-9081	"1 Irving Pl        (between 15th St & 14th St)
New York, NY 10003
            Neighborhoods: Union Square, Gramercy, Flatiron"	3	sasmovers.com	Accepts Credit Cards:Yes	Mon-Sun 6 am - 5:30 am	4	yelp.com/biz/support-a-student-movers-new-york
Go To Moving & Storage	(646) 250-8699	"64 N Railroad AveStaten Island, NY 10304Serving Staten Island and surrounding area
            Neighborhood: Concord"	12	go2moving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 5 pm	5	yelp.com/biz/go-to-moving-and-storage-staten-island-2
Three Gents Moving Co.	(646) 493-2027	"527 W 150th St        (between Amsterdam Ave & Broadway)
New York, NY 10031Serving New York and surrounding area
            Neighborhood: Harlem"	14	threegentsmoving.com	Accepts Credit Cards:Yes	Mon-Sun 12 am - 12 am	4.5	yelp.com/biz/three-gents-moving-co-new-york
Smile Moving	(646) 717-1155	"305 E 105th St        (between 1st Ave & 2nd Ave)
New York, NY 10029Serving New York and surrounding area
            Neighborhood: East Harlem"	6	smilemoving.com	Accepts Credit Cards:Yes	Mon 1 pm - 2 pm	5	yelp.com/biz/smile-moving-new-york-2
Roadway Moving	(800) 338-8415	"845 3rd Ave6th Fl        (between 51st St & 52nd St)
Manhattan, NY 10022Serving Manhattan and surrounding area
            Neighborhood: Midtown East"	10	roadwaymoving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 7 pmSat 10 am - 3 pm	4.5	yelp.com/biz/roadway-moving-manhattan
Dynamic Movers Inc	(888) 212-1227	"402 Foster Ave        (between 5th St & Seton Pl)
Brooklyn, NY 11230Serving Brooklyn and surrounding area
            Neighborhoods: Ocean Parkway, Flatbush"	2	dynamicmoversusa.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 8 pmSat-Sun 9 am - 5 pm	5	yelp.com/biz/dynamic-movers-inc-brooklyn
Integrity Movers	(718) 556-5999	"1086 Bay StStaten Island, NY 10305
            Neighborhood: Clifton"	4	integritymoversinc.com	Accepts Credit Cards:Yes		4	yelp.com/biz/integrity-movers-staten-island
Infinity Moving & Storage	(718) 292-0030	"175 Rose Feiss BlvdBronx, NY 10454
            Neighborhood: Port Morris"	6	infinitymoving.com	Accepts Credit Cards:Yes		5	yelp.com/biz/infinity-moving-and-storage-bronx
Athletic Movers	(212) 932-2020	"1890 E 5th St        (between Avenue R & Kings Hwy)
            Neighborhoods: Gravesend, Midwood"	8	athleticmovers.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 7 pm	3.5	yelp.com/biz/athletic-movers-brooklyn
Cheap Moving NY	(718) 238-8549	Brooklyn, NY 11235	5	cheapmovingny.com	Accepts Credit Cards:Yes	Mon-Sun 6 am - 5:30 am	5	yelp.com/biz/cheap-moving-ny-brooklyn
Sach's Movers, LLC	(347) 366-0636	"810 W 183rdSte  BC        (between Fort Washington Ave & Pinehurst Ave)
New York, NY 10033Serving New York and surrounding area
            Neighborhood: Washington Heights"	5	sachsmovers.com	Accepts Credit Cards:Yes	Mon-Sun 12 am - 12 pm	5	yelp.com/biz/sachs-movers-llc-new-york
D Movers	(917) 496-0877	"325 E 100th St        (between 1st Ave & 2nd Ave)
Manhattan, NY 10029Serving Manhattan and surrounding area
            Neighborhood: East Harlem"	2			Mon-Sun 9 am - 12 am	5	yelp.com/biz/d-movers-manhattan-3
Hong Dong Move Company	(718) 539-2874	Flushing, NY	6		Accepts Credit Cards:No		4.5	yelp.com/biz/hong-dong-move-company-flushing
Always Reliable Movers	(917) 838-2149	"69-10 62nd StQueens, NY 11385Serving Queens and surrounding area
            Neighborhood: Ridgewood"	2	alwaysreliablemovers.com	Accepts Credit Cards:Yes	Mon-Sun 8 am - 6 pm	5	yelp.com/biz/always-reliable-movers-queens
Moishe's Moving & Storage	(212) 466-1950	"450 W 15th StSte 606        (between 10th Ave & 9th Ave)
            Neighborhoods: Chelsea, Meatpacking District"	76	moishes.com	Accepts Credit Cards:Yes	Mon-Sun 7 am - 8 pm	3	yelp.com/biz/moishes-moving-and-storage-new-york
Momo Movers	(877) 566-8462	"645 St Johns Pl        (between St Francis Pl & Franklin Ave)
Brooklyn, NY 11216Serving Brooklyn and surrounding area
            Neighborhood: Crown Heights"	7	momomovers.com	Accepts Credit Cards:Yes	Mon-Fri 8 am - 6 pm	2.5	yelp.com/biz/momo-movers-brooklyn
Ga Ler Transportation Services	(718) 680-0778	"274 44th St        (between 2nd Ave & 3rd Ave)
Brooklyn, NY 11232
            Neighborhood: Sunset Park"	3	glmoving.com	Accepts Credit Cards:No		4.5	yelp.com/biz/ga-ler-transportation-services-brooklyn
US Power Moving	(646) 662-8200	"2511 Ocean AveSte 201        (between Avenue U & Avenue T)
New York, NY 11229"	3	uspowermoving.com		Mon-Fri 9 am - 5 pm	5	yelp.com/biz/us-power-moving-new-york
Upstairs Downstairs Moving	(212) 472-6683	"157 W 124th St        (between 7th Ave & Lenox Ave)
New York, NY 10027
            Neighborhood: Harlem"	10	upstairsdownstairsmoving.com/index…	Accepts Credit Cards:Yes		4	yelp.com/biz/upstairs-downstairs-moving-new-york
Piano Movers	(866) 742-6690	"1 Sickles StNew York, NY 10040
            Neighborhood: Washington Heights"	4	pianony.com			5	yelp.com/biz/piano-movers-new-york-3
Pianoland	(718) 376-2415	"2527 65th St        (between Mcdonald Ave & Dahill Rd)
Brooklyn, NY 11204Serving Brooklyn and surrounding area
            Neighborhood: Bensonhurst"	7	pianony.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 9 pm	4.5	yelp.com/biz/pianoland-brooklyn
Moving Right Along Movers	(718) 738-2468	"10121 101st StreetOzone Park, NY 11416
            Neighborhood: Ozone Park"	6	movingrightalong.com	Accepts Credit Cards:Yes		4	yelp.com/biz/moving-right-along-movers-ozone-park
